Unnamed: 0,Ala,Albiano,Aldeno,Altavalle,Altopiano della Vigolana,Amblar-Don,Andalo,Arco,Avio,Baselga di Pinè,Bedollo,Besenello,Bieno,Bleggio Superiore,Bocenago,Bondone,Borgo Chiese,Borgo Lares,Borgo Valsugana,Borgo d'Anaunia,Brentonico,Bresimo,Caderzone Terme,Calceranica al Lago,Caldes,Caldonazzo,Calliano,Campitello di Fassa / Ciampedel,Campodenno,Canal San Bovo,Canazei / Cianacei,Capriana,Carisolo,Carzano,Castel Condino,Castel Ivano,Castello Tesino,Castello-Molina di Fiemme,Castelnuovo,Cavalese,Cavareno,Cavedago,Cavedine,Cavizzana,Cembra Lisignago,Cimone,Cinte Tesino,Cis,Civezzano,Cles,Comano Terme,Commezzadura,Contà,Croviana,Dambel,Denno,Dimaro Folgarida,Drena,Dro,Fai della Paganella,Fiavè,Fierozzo / Vlarotz,Folgaria,Fornace,Frassilongo / Garait,Garniga Terme,Giovo,Giustino,Grigno,Imer,Isera,Lavarone,Lavis,Ledro,Levico Terme,Livo,Lona-Lases,Luserna / Lusérn,Madruzzo,Malé,Massimeno,Mazzin / Mazin,Mezzana,Mezzano,Mezzocorona,Mezzolombardo,Moena / Moena,Molveno,Mori,Nago-Torbole,Nogaredo,Nomi,Novaledo,Novella,Ospedaletto,Ossana,Palù del Fersina / Palai en Bernstol,Panchià,Peio,Pellizzano,Pelugo,Pergine Valsugana,Pieve Tesino,Pieve di Bono-Prezzo,Pinzolo,Pomarolo,Porte di Rendena,Predaia,Predazzo,Primiero San Martino di Castrozza,Rabbi,Riva del Garda,Romeno,Roncegno Terme,Ronchi Valsugana,Ronzo-Chienis,Ronzone,Rovereto,Roverè della Luna,Ruffrè-Mendola,Rumo,Sagron Mis,Samone,San Giovanni di Fassa / Sèn Jan,San Lorenzo Dorsino,San Michele all'Adige,Sant'Orsola Terme,Sanzeno,Sarnonico,Scurelle,Segonzano,Sella Giudicarie,Sfruz,Soraga di Fassa / Soraga,Sover,Spiazzo,Spormaggiore,Sporminore,Stenico,Storo,Strembo,Telve,Telve di Sopra,Tenna,Tenno,Terragnolo,Terre d'Adige,Terzolas,Tesero,Tione di Trento,Ton,Torcegno,Trambileno,Tre Ville,Trento,Valdaone,Valfloriana,Vallarsa,Vallelaghi,Vermiglio,Vignola-Falesina,Villa Lagarina,Ville d'Anaunia,Ville di Fiemme,Volano,Ziano di Fiemme
Ala,0.0,60.642,29.24,67.473,40.886,87.954,76.777,27.278,7.003,57.088,64.283,25.256,76.363,47.843,70.331,70.421,66.468,56.16,65.187,90.938,14.336,91.014,71.272,45.663,92.218,47.917,23.702,127.069,67.492,111.067,129.51,85.768,76.17,69.866,72.653,71.448,84.552,97.611,68.262,99.991,87.288,72.699,41.795,92.062,66.158,32.543,82.36,86.989,47.902,80.537,49.518,102.203,70.6,96.268,84.822,68.673,99.485,36.717,31.624,71.019,43.526,63.388,36.452,53.839,59.102,37.268,58.381,73.412,79.963,117.889,15.359,48.866,52.754,42.998,52.022,88.559,56.728,59.439,45.396,95.372,74.376,123.058,105.623,119.167,59.792,60.656,112.438,68.522,11.989,20.825,19.038,22.336,56.692,85.146,72.736,110.92,66.049,99.182,122.162,109.064,65.524,52.295,81.105,73.073,74.94,20.056,62.57,75.081,103.458,133.022,102.248,26.935,85.103,62.228,65.548,25.308,89.565,15.873,65.659,93.295,96.435,134.778,73.382,119.706,58.606,58.552,59.52,79.333,88.925,70.15,64.209,67.66,79.981,115.283,73.14,67.108,67.283,66.612,55.091,60.367,70.235,68.907,70.221,51.629,32.893,27.03,55.017,93.677,104.324,59.595,67.405,67.858,16.887,58.382,42.089,75.825,79.428,32.362,48.015,114.615,60.014,18.647,77.91,100.87,19.851,99.367
Albiano,60.642,0.0,29.864,12.599,25.848,50.242,39.066,50.631,63.831,11.423,18.618,33.033,49.169,51.408,68.135,94.885,78.54,56.574,37.993,53.227,54.846,53.303,69.075,20.93,54.507,23.416,33.967,72.994,29.781,83.873,75.435,30.117,73.973,42.671,78.599,44.254,57.358,36.302,41.068,38.993,49.577,34.988,38.777,54.351,13.908,34.006,55.166,49.278,10.038,42.826,45.05,64.492,32.889,58.557,47.111,30.962,61.774,43.853,45.415,32.942,51.271,24.33,42.917,3.906,20.044,38.732,16.59,71.216,52.769,90.695,43.553,39.548,10.794,71.107,23.0,50.848,2.653,39.333,32.693,57.661,72.179,68.983,67.912,95.445,21.349,21.362,58.364,43.569,48.416,57.069,41.296,36.587,29.498,47.435,45.542,73.209,24.594,45.107,84.451,71.353,63.327,13.235,53.911,72.124,72.744,41.078,60.785,37.37,49.383,78.947,64.537,55.385,47.392,35.034,38.354,51.292,51.854,43.014,26.792,55.584,58.723,103.667,46.188,65.631,50.622,18.26,20.29,41.622,51.214,42.956,10.134,66.765,42.27,61.208,19.065,64.912,29.572,28.901,47.107,84.648,68.038,41.713,43.027,21.243,56.482,50.404,15.354,55.966,43.047,58.7,29.694,40.664,45.711,53.913,17.617,73.125,25.353,60.918,28.143,76.904,21.79,39.669,40.199,40.402,37.668,45.293
Aldeno,29.24,29.864,0.0,35.922,14.591,59.068,47.891,34.78,36.175,27.198,34.393,10.662,50.069,47.082,63.808,77.923,74.214,52.247,38.893,62.053,26.104,62.129,64.748,19.368,63.333,21.622,8.958,97.179,38.606,84.772,99.62,54.217,69.647,43.571,74.273,45.154,58.258,60.487,41.968,71.106,58.402,43.814,34.451,63.176,34.607,4.143,56.066,58.104,18.496,51.652,40.723,73.318,41.715,67.382,55.936,39.788,70.6,39.526,39.126,42.134,46.945,33.498,21.982,23.95,29.212,8.869,26.83,66.889,53.669,91.595,14.811,33.9,21.034,50.5,25.727,59.674,26.838,37.218,28.366,66.487,67.853,93.169,76.737,92.873,30.906,31.771,82.549,52.394,19.674,28.327,11.983,7.05,30.398,56.26,46.442,82.034,36.159,69.292,93.276,80.178,59.001,22.406,54.811,67.798,68.417,9.591,56.458,46.195,73.568,103.132,73.362,34.436,56.218,35.933,39.254,21.428,60.679,14.272,36.773,64.41,67.549,108.484,47.088,89.816,46.295,29.666,29.631,50.448,60.039,43.856,34.319,62.438,51.095,85.393,43.25,60.585,38.398,37.726,42.78,67.869,63.712,42.612,43.927,25.335,40.395,24.7,26.132,64.791,67.232,54.374,38.519,41.564,16.969,49.587,12.683,68.798,49.538,32.176,23.816,85.73,30.124,10.904,49.024,71.984,10.486,69.478
Altavalle,67.473,12.599,35.922,0.0,33.703,49.491,38.315,56.917,71.239,13.233,13.609,39.32,57.023,57.695,74.421,101.171,84.827,62.86,45.847,52.476,62.254,52.552,75.361,28.784,53.756,31.271,40.253,64.193,29.03,94.41,66.634,18.525,80.26,50.526,84.886,52.109,65.213,27.5,48.922,30.191,48.826,34.237,45.064,53.599,1.331,40.293,63.021,48.527,19.199,42.075,51.336,63.741,32.138,57.806,46.36,30.211,61.023,50.139,51.701,32.191,57.558,23.364,50.772,14.893,27.898,45.019,9.712,77.502,60.624,87.768,50.961,47.402,14.937,77.393,30.855,50.097,9.936,47.187,38.979,56.91,78.466,60.182,67.161,86.644,19.073,20.611,49.562,42.817,55.825,64.477,48.704,42.873,37.352,46.684,53.396,72.458,19.586,36.306,83.699,70.602,69.613,21.089,61.766,78.411,79.03,48.486,67.071,36.619,40.582,70.146,63.786,61.672,46.641,42.888,46.208,57.578,51.103,50.422,23.907,54.833,57.972,94.866,54.043,56.83,52.731,16.562,28.145,40.871,50.462,50.81,4.607,73.051,41.519,52.407,11.705,71.198,28.821,28.15,53.393,90.934,74.325,49.567,50.881,29.098,62.768,56.69,15.605,55.215,34.246,64.987,28.943,48.518,53.119,60.2,23.903,79.411,17.783,68.326,34.429,76.153,29.645,47.077,39.448,31.601,43.955,36.491
Altopiano della Vigolana,40.886,25.848,14.591,33.703,0.0,59.996,48.819,48.209,49.141,21.504,28.699,16.474,35.678,48.987,65.713,91.098,76.119,54.152,24.502,62.981,39.279,63.057,66.653,4.978,64.261,7.232,17.407,90.879,39.534,70.382,93.32,51.356,71.552,29.18,76.178,30.763,43.867,54.186,27.577,56.877,59.33,44.742,36.356,64.104,35.147,18.535,41.675,59.032,17.385,52.58,42.628,74.246,42.643,68.311,56.864,40.716,71.528,41.431,42.993,43.062,48.85,23.437,19.831,21.003,19.151,23.26,26.69,68.794,39.278,77.204,27.986,19.692,20.894,63.675,11.337,60.602,23.891,22.827,30.271,67.415,69.758,86.868,77.665,78.482,32.916,31.56,76.248,53.322,32.85,41.503,25.107,20.027,16.007,57.188,32.051,82.962,26.799,62.992,94.204,81.106,60.906,12.345,40.42,69.703,70.322,22.715,58.363,47.123,67.267,96.832,74.29,47.612,57.146,21.543,24.863,35.82,61.607,25.919,36.42,65.338,68.477,94.093,32.697,83.516,48.2,27.887,20.271,51.376,60.967,29.465,31.373,64.343,52.023,79.092,37.264,62.49,39.326,38.654,44.685,82.226,65.617,28.222,29.536,10.944,54.06,31.245,24.982,65.719,60.932,56.279,39.447,27.173,28.617,51.492,12.258,70.703,43.238,42.574,25.721,86.658,18.885,24.102,49.952,58.287,21.108,63.177
Amblar-Don,87.954,50.242,59.068,49.491,59.996,0.0,39.644,79.685,92.144,62.023,69.218,62.088,91.33,69.312,66.032,111.78,95.436,74.157,80.154,5.531,83.159,21.715,65.145,63.091,24.006,65.578,63.021,83.162,25.56,124.557,85.603,60.523,60.031,84.833,95.495,86.415,99.52,54.871,83.229,57.251,1.88,35.567,67.831,23.85,48.49,63.731,97.327,17.647,52.595,16.732,62.953,33.991,25.458,28.056,5.804,23.531,31.273,72.907,74.469,37.184,69.175,68.323,74.971,58.774,64.037,68.457,40.705,62.768,94.931,117.916,71.867,79.487,39.778,100.161,66.158,16.562,53.032,81.494,61.747,27.16,63.619,79.151,37.411,116.792,31.304,29.175,79.71,44.147,76.73,85.383,69.61,65.641,71.659,9.712,87.703,42.708,70.984,64.213,53.95,40.852,70.603,57.23,96.072,89.02,61.103,69.391,77.415,18.257,70.729,100.293,34.036,84.44,2.846,77.195,80.515,81.017,4.157,71.327,37.607,7.888,26.412,125.013,88.35,75.799,54.061,33.237,64.455,8.947,3.517,85.117,54.354,83.66,18.542,73.92,61.28,69.018,30.15,27.194,62.074,101.543,66.315,83.874,85.188,63.404,81.774,79.458,35.149,25.465,61.583,75.596,24.429,82.825,74.025,70.092,47.899,90.02,64.31,89.232,57.197,46.403,64.949,67.983,17.33,58.129,66.722,66.639
Andalo,76.777,39.066,47.891,38.315,48.819,39.644,0.0,47.168,80.715,50.593,57.788,50.658,79.901,29.767,45.221,72.236,55.892,34.613,68.724,42.533,65.551,42.609,46.161,51.662,43.813,54.148,51.592,98.456,19.087,114.604,100.897,56.671,51.06,73.403,55.951,74.986,88.09,58.987,71.799,61.366,38.883,4.107,40.151,43.657,37.06,52.302,85.898,38.584,41.166,32.132,23.409,53.798,22.195,47.863,36.417,20.268,51.08,42.975,41.952,6.894,29.63,56.893,63.542,47.345,52.607,57.027,29.275,48.302,83.501,122.032,60.437,68.057,28.348,58.769,54.729,40.154,41.603,70.065,34.451,46.967,49.266,94.446,57.218,120.908,19.875,17.746,83.826,4.603,65.3,52.452,58.18,54.211,60.23,36.741,76.274,62.515,59.554,68.329,73.757,60.659,40.414,45.801,84.643,49.476,49.83,57.961,37.871,26.676,74.845,104.409,53.843,46.181,36.698,65.765,69.086,62.533,41.16,59.898,26.177,44.89,48.029,129.129,76.92,91.093,14.517,21.808,53.026,30.928,40.52,73.688,42.925,44.116,31.576,86.67,49.851,41.998,9.523,13.62,22.53,61.999,45.125,72.444,73.759,51.975,42.23,68.028,23.72,45.272,65.699,36.052,19.985,71.396,62.595,30.547,36.47,50.476,55.929,77.802,36.614,66.21,53.519,56.553,29.505,62.245,55.293,70.755
Arco,27.278,50.631,34.78,56.917,48.209,79.685,47.168,0.0,32.831,51.093,58.288,32.257,80.401,23.036,45.524,47.899,43.947,31.353,69.225,82.44,19.688,82.516,46.465,52.162,83.72,54.648,30.554,120.492,58.994,115.104,122.933,74.824,51.363,73.903,50.132,75.486,88.59,83.799,72.3,86.49,78.79,51.421,15.951,83.564,55.214,35.889,86.398,78.491,41.073,72.039,24.711,80.712,62.102,87.77,76.324,60.175,80.015,10.872,5.779,54.256,18.719,57.393,43.577,47.845,53.107,38.933,47.437,48.605,84.001,121.927,20.214,55.991,41.641,20.476,55.229,80.061,50.733,66.564,19.552,86.874,49.569,116.481,84.149,123.205,52.283,51.019,105.861,42.678,15.397,6.588,23.894,27.972,60.73,76.648,76.774,89.446,60.054,92.605,100.688,87.59,40.717,46.301,85.143,50.552,50.133,25.692,37.763,66.583,96.881,126.445,93.75,4.755,76.605,66.265,69.586,16.669,81.067,22.831,58.15,84.797,87.937,138.816,77.42,113.129,32.762,51.043,53.526,70.835,80.427,74.188,58.214,42.853,71.483,108.706,67.145,42.301,56.837,58.114,29.247,37.846,45.428,72.944,74.259,52.475,5.851,34.479,46.519,85.179,90.545,34.788,58.907,71.896,24.263,33.575,35.671,49.213,73.433,39.739,22.17,93.141,54.019,24.283,69.412,93.361,26.81,92.791
Avio,7.003,63.831,36.175,71.239,49.141,92.144,80.715,32.831,0.0,62.104,69.299,34.208,88.57,53.343,75.832,75.921,71.969,61.66,77.393,95.955,20.034,96.031,76.772,57.869,97.235,60.123,32.505,132.085,72.508,123.273,134.526,90.785,81.671,82.072,78.154,83.655,96.759,102.628,80.468,105.007,92.304,77.715,47.296,97.078,71.174,40.129,94.567,92.006,52.918,85.553,55.019,107.219,75.616,101.284,89.838,73.689,104.502,42.217,37.124,76.035,49.026,68.404,45.528,58.856,64.118,44.855,63.397,78.913,92.17,130.096,22.002,57.942,57.771,48.498,64.228,93.575,61.744,68.515,50.897,100.389,79.877,128.074,110.639,131.373,64.808,65.673,117.455,74.022,17.489,26.326,27.861,29.923,68.899,90.162,84.943,115.936,71.065,104.198,127.178,114.08,71.024,57.312,93.312,78.574,80.441,27.643,68.07,80.097,108.474,138.038,107.264,32.435,90.12,74.434,77.755,30.809,94.581,23.456,70.675,98.312,101.451,146.985,85.589,124.722,64.107,63.568,64.536,84.35,93.941,82.357,69.225,73.16,84.997,120.299,78.156,72.609,72.299,71.628,60.592,65.868,75.736,81.113,82.428,63.486,38.394,35.103,60.033,98.693,109.34,65.096,72.421,80.065,24.887,63.882,47.105,81.325,84.444,40.363,58.239,119.631,65.03,26.234,82.926,105.886,29.335,104.384
Baselga di Pinè,57.088,11.423,27.198,13.233,21.504,62.023,50.593,51.093,62.104,0.0,7.285,32.705,44.852,53.153,69.879,96.629,80.285,58.318,33.676,64.955,56.59,65.031,70.82,16.524,66.235,19.1,33.639,69.465,41.508,79.556,71.906,26.199,75.718,38.355,80.344,39.937,53.042,32.772,36.751,35.463,61.304,46.716,40.522,66.078,14.745,33.35,50.849,61.006,11.299,54.553,46.794,76.22,44.617,70.284,58.838,42.689,73.502,45.597,47.159,45.036,53.016,17.04,38.511,7.415,14.477,38.076,23.126,72.96,48.453,86.378,45.298,35.231,21.895,72.852,18.928,62.575,9.303,35.016,34.437,69.389,73.924,65.454,79.639,91.916,32.682,33.534,54.834,55.296,50.161,58.814,43.041,36.258,25.181,59.162,41.225,84.936,13.262,41.578,96.178,83.08,65.072,9.162,49.594,73.869,74.488,42.822,62.53,49.097,45.854,75.418,76.264,57.13,59.12,30.717,34.037,50.636,63.581,44.758,38.126,67.312,70.451,100.138,41.872,62.102,52.366,29.593,12.388,53.35,62.941,38.639,10.971,68.509,53.997,57.679,15.85,66.656,41.299,40.628,48.851,86.392,69.783,37.396,38.71,16.927,58.226,50.075,26.687,67.693,39.518,60.445,41.421,36.347,47.456,55.658,16.79,74.869,21.824,62.663,29.887,88.631,17.718,41.414,51.926,36.873,37.34,41.764
