Codice,Comune,Comune_norm,Stesso,Altro,Lordo,Netto,Totale,popolazione,quota_stesso,quota_intra,quota_extra,in_Stesso,in_Altro,in_Lordo,in_Netto,in_Totale,saldo_netto,indice_bilancio,intensita_pendolarismo,autocontenimento_pc,attrattivita_pc
1,Ala,Ala,1203,1991,3317,2114,123,8797,0.36267711787760026,0.6002411817907748,0.037081700331624966,1203,984,2263,1060,76,-47,0.6178861788617886,0.02262134818688189,0.1367511651699443,0.008639308855291577
2,Albiano,Albiano,206,322,548,342,20,1497,0.3759124087591241,0.5875912408759124,0.0364963503649635,206,398,604,398,0,-20,0.0,0.013360053440213761,0.13760855043420173,0.0
3,Aldeno,Aldeno,294,1052,1378,1084,32,3188,0.21335268505079827,0.7634252539912917,0.023222060957910014,294,327,625,331,4,-28,0.125,0.011292346298619825,0.09222082810539524,0.0012547051442910915
235,Altavalle,Altavalle,155,435,598,443,8,1621,0.2591973244147157,0.7274247491638796,0.013377926421404682,155,100,260,105,5,-3,0.625,0.008019740900678593,0.09561998766193708,0.0030845157310302285
236,Altopiano della Vigolana,Altopiano della Vigolana,404,1728,2166,1762,34,5107,0.18651892890120036,0.7977839335180056,0.01569713758079409,404,335,750,346,11,-23,0.3235294117647059,0.008811435284903074,0.07910710789112982,0.002153906402976307
237,Amblar-Don,Amblar-Don,66,121,203,137,16,547,0.3251231527093596,0.5960591133004927,0.07881773399014778,66,58,126,60,2,-14,0.125,0.03290676416819013,0.1206581352833638,0.003656307129798903
5,Andalo,Andalo,271,109,380,109,0,1207,0.7131578947368421,0.2868421052631579,0.0,271,372,650,379,7,7,,0.00579950289975145,0.22452361226180614,0.00579950289975145
6,Arco,Arco,4000,2721,6866,2866,145,17745,0.5825808330905913,0.39630061170987474,0.021118555199533935,4000,4160,8344,4344,184,39,1.2689655172413794,0.01854043392504931,0.22541561003099464,0.010369118061425753
7,Avio,Avio,661,792,1560,899,107,4090,0.4237179487179487,0.5076923076923077,0.0685897435897436,661,545,1336,675,130,23,1.2149532710280373,0.05794621026894865,0.16161369193154035,0.03178484107579462
9,Baselga di Pinè,Baselga di Pinè,605,1346,1976,1371,25,5086,0.3061740890688259,0.6811740890688259,0.012651821862348178,605,397,1037,432,35,10,1.4,0.011797090051120724,0.11895399134880062,0.006881635863153756
11,Bedollo,Bedollo,87,458,555,468,10,1471,0.15675675675675677,0.8252252252252252,0.018018018018018018,87,76,164,77,1,-9,0.1,0.007477906186267845,0.05914343983684568,0.0006798096532970768
13,Besenello,Besenello,204,991,1218,1014,23,2750,0.16748768472906403,0.8136288998357963,0.018883415435139574,204,202,408,204,2,-21,0.08695652173913043,0.00909090909090909,0.07418181818181818,0.0007272727272727272
15,Bieno,Bieno,25,117,147,122,5,448,0.17006802721088435,0.7959183673469388,0.034013605442176874,25,20,46,21,1,-4,0.2,0.013392857142857142,0.05580357142857143,0.002232142857142857
17,Bleggio Superiore,Bleggio Superiore,151,409,567,416,7,1525,0.26631393298059963,0.7213403880070547,0.012345679012345678,151,191,405,254,63,56,9.0,0.04590163934426229,0.09901639344262295,0.04131147540983607
18,Bocenago,Bocenago,33,117,151,118,1,398,0.2185430463576159,0.7748344370860927,0.006622516556291391,33,79,115,82,3,2,3.0,0.010050251256281407,0.0829145728643216,0.007537688442211055
21,Bondone,Bondone,42,149,220,178,29,641,0.19090909090909092,0.6772727272727272,0.1318181818181818,42,37,95,53,16,-13,0.5517241379310345,0.07020280811232449,0.0655226209048362,0.0249609984399376
238,Borgo Chiese,Borgo Chiese,291,351,673,382,31,1959,0.4323922734026746,0.5215453194650818,0.04606240713224369,291,544,1033,742,198,167,6.387096774193548,0.11689637570188872,0.14854517611026033,0.10107197549770292
239,Borgo Lares,Borgo Lares,60,206,268,208,2,714,0.22388059701492538,0.7686567164179104,0.007462686567164179,60,310,377,317,7,5,3.5,0.012605042016806723,0.08403361344537816,0.00980392156862745
22,Borgo Valsugana,Borgo Valsugana,1224,1502,2777,1553,51,6981,0.44076341375585165,0.5408714440043212,0.018365142239827152,1224,1625,2988,1764,139,88,2.7254901960784315,0.027216731127345652,0.17533304684142673,0.019911187508952873
252,Borgo d'Anaunia,Borgo d'Anaunia,388,397,891,503,106,2496,0.43546576879910215,0.44556677890011226,0.11896745230078563,388,471,876,488,17,-89,0.16037735849056603,0.04927884615384615,0.15544871794871795,0.006810897435897436
25,Brentonico,Brentonico,404,965,1396,992,27,4032,0.28939828080229224,0.6912607449856734,0.019340974212034383,404,200,609,205,5,-22,0.18518518518518517,0.007936507936507936,0.1001984126984127,0.001240079365079365
