Codice,Comune_norm,saldo_netto,intensita_pendolarismo,autocontenimento_pc,attrattivita_pc,A_km_beta1_5,A_time,neighbors_km_le_10,neighbors_km_le_20,neighbors_km_le_30,neighbors_min_le_15,neighbors_min_le_30,neighbors_min_le_45,R25_km,R50_km,T25_min,T50_min
1,Ala,-47,0.0226213481868818,0.1367511651699443,0.0086393088552915,2777.396078632386,15333.765239119477,1,9,19,3,18,40,36.717,45.396,31.0,39.0
2,Albiano,-20,0.0133600534402137,0.1376085504342017,0.0,4597.508660729984,19025.926404812453,2,15,36,9,36,91,17.617,38.993,18.0,34.0
3,Aldeno,-28,0.0112923462986198,0.0922208281053952,0.001254705144291,5898.445125681148,23814.499298477403,5,17,39,12,41,91,12.683,27.198,14.0,26.0
235,Altavalle,-3,0.0080197409006785,0.095619987661937,0.0030845157310302,4738.768503638266,17108.24434134538,4,17,32,7,27,79,23.903,40.582,25.0,37.0
236,Altopiano della Vigolana,-23,0.008811435284903,0.0791071078911298,0.0021539064029763,5747.1963649529225,20678.699153006975,2,16,48,6,47,83,12.345,27.887,14.0,29.0
237,Amblar-Don,-14,0.0329067641681901,0.1206581352833638,0.0036563071297989,2809.7485500341963,11421.753290551791,9,15,28,8,22,42,47.899,60.523,46.0,57.0
5,Andalo,7,0.0057995028997514,0.2245236122618061,0.0057995028997514,2309.442118816465,14038.943387583,4,10,23,5,25,76,36.47,46.181,32.0,42.0
6,Arco,39,0.0185404339250493,0.2254156100309946,0.0103691180614257,4664.986973156226,16417.88719893615,4,11,25,5,25,49,32.257,35.889,33.0,39.0
7,Avio,23,0.0579462102689486,0.1616136919315403,0.0317848410757946,2273.880642445744,14727.407551492443,1,2,12,1,15,41,40.363,49.141,31.0,39.0
9,Baselga di Pinè,10,0.0117970900511207,0.1189539913488006,0.0068816358631537,4431.3160323407765,18242.263619779827,4,20,30,8,28,83,16.79,40.522,18.0,36.0
