Comune_norm,A_km_beta1_5,A_time
Ala,2777.396078632386,15333.765239119477
Albiano,4597.508660729984,19025.926404812453
Aldeno,5898.445125681148,23814.499298477403
Altavalle,4738.768503638266,17108.24434134538
Altopiano della Vigolana,5747.1963649529225,20678.699153006975
Amblar-Don,2809.7485500341963,11421.753290551791
Andalo,2309.442118816465,14038.943387583
Arco,4664.986973156226,16417.88719893615
Avio,2273.880642445744,14727.407551492443
Baselga di Pinè,4431.3160323407765,18242.263619779827
Bedollo,3051.547281719816,14127.02411500143
Besenello,6624.632887126992,23141.28042648058
Bieno,2300.8488098712432,12502.307377965764
Bleggio Superiore,2614.636052895414,13481.763808943817
Bocenago,2749.408546654976,10909.462357045963
Bondone,1054.4716797184055,7409.087443882115
Borgo Chiese,1617.2260426689381,9482.25765596679
Borgo Lares,2839.9914773606306,12917.07024672579
Borgo Valsugana,3380.987371557683,15266.284008093482
Borgo d'Anaunia,2305.5995208131426,11400.092336852425
Brentonico,3534.0366900797576,14816.09521350509
Bresimo,1912.78999046783,9963.308623258228
Caderzone Terme,2826.789289030827,10991.279567899215
Calceranica al Lago,6680.131588909851,22631.691580495386
Caldes,2481.0391855485896,11963.188758748602
Caldonazzo,5401.188314099314,20475.064174732113
Calliano,7752.09258750264,24238.03046456618
Campitello di Fassa / Ciampedel,1480.800924041196,7299.840170053535
Campodenno,3690.4680123898634,16724.329975890803
Canal San Bovo,867.2510208334658,6226.559722543769
Canazei / Cianacei,1019.7326899959455,6581.10980435899
Capriana,1799.1413015124658,11297.383537854854
Carisolo,3837.3889613613437,10703.349050386158
Carzano,5292.709567284009,15351.715571278435
Castel Condino,1456.8754966178992,8592.114231676105
Castel Ivano,3452.6139842925713,14281.902013111638
Castello Tesino,1540.0232555781367,10126.88855798965
Castello-Molina di Fiemme,2879.0158222006303,11695.229378701059
Castelnuovo,5000.638721412964,16905.269169041192
Cavalese,3155.6637320876307,11254.35294659361
Cavareno,3306.6969242022233,12970.581314255916
Cavedago,2724.9996029135573,15405.554479888553
Cavedine,3395.5451033115355,16733.296219026823
Cavizzana,2466.6218739544984,11614.220696860248
Cembra Lisignago,4377.570542456093,17270.992244666835
Cimone,4606.271156551917,20964.999731286156
Cinte Tesino,1969.180898525006,10685.131866751728
Cis,2647.6303176638403,12810.487513827367
Civezzano,11507.029855010715,27173.073338221802
Cles,2808.766070500057,14444.414075924495
