Comune_norm,neighbors_km_le_10,neighbors_km_le_20,neighbors_km_le_30,neighbors_min_le_15,neighbors_min_le_30,neighbors_min_le_45
Ala,1,9,19,3,18,40
Albiano,2,15,36,9,36,91
Aldeno,5,17,39,12,41,91
Altavalle,4,17,32,7,27,79
Altopiano della Vigolana,2,16,48,6,47,83
Amblar-Don,9,15,28,8,22,42
Andalo,4,10,23,5,25,76
Arco,4,11,25,5,25,49
Avio,1,2,12,1,15,41
Baselga di Pinè,4,20,30,8,28,83
Bedollo,3,16,27,3,23,53
Besenello,6,17,33,12,38,81
Bieno,10,17,20,14,22,36
Bleggio Superiore,4,11,31,6,27,48
Bocenago,9,12,19,11,18,35
Bondone,0,2,7,1,7,12
Borgo Chiese,4,6,13,5,12,28
Borgo Lares,5,18,27,12,27,39
Borgo Valsugana,12,21,27,16,32,57
Borgo d'Anaunia,7,11,24,9,28,45
Brentonico,1,14,23,2,18,38
Bresimo,2,15,33,4,24,41
Caderzone Terme,9,12,19,10,16,35
Calceranica al Lago,5,21,48,10,51,83
Caldes,7,19,33,12,32,51
Caldonazzo,5,18,44,9,50,78
Calliano,8,17,33,13,37,78
Campitello di Fassa / Ciampedel,3,5,8,4,7,12
Campodenno,6,20,39,10,35,85
Canal San Bovo,2,2,4,2,4,8
Canazei / Cianacei,3,5,6,4,6,12
Capriana,0,10,18,3,16,36
Carisolo,7,10,18,9,15,34
Carzano,12,18,24,15,24,46
Castel Condino,3,5,13,5,11,25
Castel Ivano,11,17,21,17,24,45
Castello Tesino,3,13,17,7,17,28
Castello-Molina di Fiemme,4,9,15,7,15,45
Castelnuovo,12,18,24,16,29,52
Cavalese,5,9,14,8,16,36
Cavareno,9,15,29,8,26,45
Cavedago,5,14,24,8,25,87
Cavedine,2,5,18,4,20,77
Cavizzana,7,18,33,12,28,48
Cembra Lisignago,3,16,30,6,27,74
Cimone,2,14,29,9,32,78
Cinte Tesino,3,14,17,9,18,30
Cis,7,24,36,13,36,48
Civezzano,4,24,41,11,61,99
Cles,5,27,40,16,43,61
Comano Terme,4,13,32,9,31,72
Commezzadura,7,14,22,10,21,50
Contà,5,19,38,8,39,81
Croviana,8,16,30,12,26,52
Dambel,8,20,34,11,32,47
Denno,6,17,41,14,39,85
Dimaro Folgarida,7,15,25,12,23,51
Drena,2,8,18,5,17,58
Dro,2,9,23,8,23,66
Fai della Paganella,3,14,23,9,24,88
Fiavè,3,11,28,7,24,53
Fierozzo / Vlarotz,3,10,24,4,23,71
Folgaria,0,9,24,4,23,59
Fornace,5,19,34,9,38,88
Frassilongo / Garait,5,16,27,7,28,80
Garniga Terme,2,8,19,3,29,70
Giovo,6,17,37,8,41,98
Giustino,8,12,19,10,16,37
Grigno,1,16,18,12,21,37
Imer,2,4,4,2,4,6
Isera,8,18,28,14,34,67
Lavarone,0,7,18,2,18,54
Lavis,4,20,48,11,55,114
Ledro,0,3,10,1,10,31
Levico Terme,6,23,40,9,41,75
Livo,7,23,34,12,35,48
Lona-Lases,6,19,33,9,35,88
Luserna / Lusérn,0,5,13,1,13,48
Madruzzo,2,9,23,5,36,89
Malé,7,17,30,13,26,52
Massimeno,8,12,17,9,16,33
Mazzin / Mazin,4,5,9,5,9,13
Mezzana,6,12,18,10,18,42
Mezzano,2,4,4,3,4,6
Mezzocorona,6,18,34,12,50,105
Mezzolombardo,9,19,39,14,52,101
Moena / Moena,3,9,12,5,12,16
Molveno,3,7,20,5,22,67
Mori,7,20,27,12,29,64
