Comune_norm,R25_km,R50_km,T25_min,T50_min
Ala,36.717,45.396,31.0,39.0
Albiano,17.617,38.993,18.0,34.0
Aldeno,12.683,27.198,14.0,26.0
Altavalle,23.903,40.582,25.0,37.0
Altopiano della Vigolana,12.345,27.887,14.0,29.0
Amblar-Don,47.899,60.523,46.0,57.0
Andalo,36.47,46.181,32.0,42.0
Arco,32.257,35.889,33.0,39.0
Avio,40.363,49.141,31.0,39.0
Baselga di Pinè,16.79,40.522,18.0,36.0
Bedollo,24.014,44.71,27.0,45.0
Besenello,15.905,27.69,14.0,28.0
Bieno,45.502,58.599,39.0,55.0
Bleggio Superiore,36.307,43.438,34.0,44.0
Bocenago,53.241,59.211,52.0,62.0
Bondone,66.086,79.439,69.0,80.0
Borgo Chiese,62.168,63.471,62.0,63.0
Borgo Lares,41.526,51.757,40.0,52.0
Borgo Valsugana,34.318,50.209,29.0,48.0
Borgo d'Anaunia,50.735,62.981,46.0,58.0
Brentonico,29.41,39.5,33.0,39.0
Bresimo,50.691,63.057,52.0,63.0
Caderzone Terme,54.043,59.873,52.0,62.0
Calceranica al Lago,17.484,30.72,17.0,33.0
Caldes,51.895,63.333,47.0,57.0
Caldonazzo,19.951,33.0,19.0,36.0
Calliano,16.684,28.469,15.0,27.0
Campitello di Fassa / Ciampedel,80.98,88.45,86.0,91.0
Campodenno,27.156,42.21,25.0,37.0
Canal San Bovo,80.19,91.308,86.0,97.0
Canazei / Cianacei,83.421,90.891,88.0,93.0
Capriana,42.232,52.255,42.0,51.0
Carisolo,58.303,63.113,57.0,64.0
Carzano,38.972,52.069,35.0,50.0
Castel Condino,63.499,68.449,64.0,71.0
Castel Ivano,40.572,54.684,34.0,52.0
Castello Tesino,53.352,66.155,47.0,62.0
Castello-Molina di Fiemme,48.435,51.867,50.0,54.0
Castelnuovo,37.179,51.291,31.0,47.0
Cavalese,50.679,54.558,53.0,57.0
Cavareno,47.257,59.703,42.0,53.0
Cavedago,32.363,45.744,28.0,40.0
Cavedine,23.687,37.405,23.0,37.0
Cavizzana,51.738,63.176,48.0,58.0
Cembra Lisignago,22.574,40.746,23.0,35.0
Cimone,16.826,30.972,15.0,30.0
Cinte Tesino,51.484,64.287,46.0,61.0
Cis,46.666,59.032,42.0,53.0
Civezzano,6.838,34.03,9.0,27.0
Cles,40.172,54.631,35.0,46.0
Comano Terme,30.002,40.85,26.0,39.0
Commezzadura,61.876,71.206,55.0,64.0
Contà,30.116,45.473,28.0,40.0
Croviana,56.01,65.341,50.0,59.0
Dambel,44.441,58.289,42.0,53.0
Denno,28.189,43.546,25.0,37.0
Dimaro Folgarida,59.135,68.466,53.0,62.0
Drena,28.762,35.186,28.0,36.0
Dro,30.384,35.553,28.0,33.0
Fai della Paganella,30.323,45.036,25.0,36.0
Fiavè,36.159,39.123,33.0,43.0
Fierozzo / Vlarotz,22.445,43.731,23.0,41.0
Folgaria,28.554,36.941,29.0,39.0
Fornace,12.743,38.031,15.0,33.0
Frassilongo / Garait,18.159,42.669,19.0,37.0
Garniga Terme,21.551,34.596,19.0,30.0
Giovo,14.967,36.183,16.0,30.0
Giustino,56.245,61.619,54.0,62.0
Grigno,49.046,63.158,41.0,56.0
Imer,86.924,95.199,94.0,98.0
Isera,24.516,34.57,21.0,27.0
Lavarone,31.79,40.914,33.0,41.0
Lavis,10.491,33.978,11.0,26.0
Ledro,40.096,56.215,43.0,54.0
Levico Terme,21.116,36.962,20.0,41.0
Livo,48.243,61.624,44.0,56.0
Lona-Lases,15.62,38.749,17.0,35.0
Luserna / Lusérn,35.831,44.408,36.0,46.0
Madruzzo,17.618,34.23,17.0,32.0
Malé,55.157,64.488,50.0,59.0
Massimeno,57.209,62.583,56.0,64.0
Mazzin / Mazin,76.969,84.465,81.0,87.0
Mezzana,65.301,74.632,58.0,67.0
Mezzano,88.228,96.006,95.0,100.0
Mezzocorona,20.347,37.008,16.0,27.0
Mezzolombardo,19.018,37.859,17.0,28.0
Moena / Moena,68.638,73.929,72.0,77.0
Molveno,41.109,44.147,37.0,43.0
Mori,29.971,36.004,26.0,32.0
Nago-Torbole,24.761,40.331,25.0,34.0
Nogaredo,24.681,32.188,18.0,27.0
Nomi,19.303,27.972,18.0,30.0
Novaledo,25.808,41.737,23.0,42.0
Novella,44.765,59.162,42.0,53.0
Ospedaletto,41.844,55.265,35.0,50.0
Ossana,70.566,79.897,64.0,72.0
Palù del Fersina / Palai en Bernstol,25.137,45.101,28.0,44.0
Panchià,55.253,60.589,57.0,63.0
Peio,81.84,91.17,75.0,84.0
Pellizzano,68.742,78.073,61.0,70.0
Pelugo,48.312,58.021,46.0,57.0
Pergine Valsugana,11.373,39.341,12.0,30.0
