id_comune,comune,stesso,altro,totale,lordo,netto
1,Ala,1203,984,76,2263,1060
2,Albiano,206,398,0,604,398
3,Aldeno,294,327,4,625,331
235,Altavalle,155,100,5,260,105
236,Altopiano della Vigolana,404,335,11,750,346
237,Amblar-Don,66,58,2,126,60
5,Andalo,271,372,7,650,379
6,Arco,4000,4160,184,8344,4344
7,Avio,661,545,130,1336,675
9,Baselga di Pinè,605,397,35,1037,432
11,Bedollo,87,76,1,164,77
13,Besenello,204,202,2,408,204
15,Bieno,25,20,1,46,21
17,Bleggio Superiore,151,191,63,405,254
18,Bocenago,33,79,3,115,82
21,Bondone,42,37,16,95,53
238,Borgo Chiese,291,544,198,1033,742
252,Borgo d'Anaunia,388,471,17,876,488
239,Borgo Lares,60,310,7,377,317
22,Borgo Valsugana,1224,1625,139,2988,1764
25,Brentonico,404,200,5,609,205
26,Bresimo,13,176,0,189,176
29,Caderzone Terme,63,90,0,153,90
32,Calceranica al Lago,117,419,4,540,423
33,Caldes,115,118,0,233,118
34,Caldonazzo,300,405,9,714,414
35,Calliano,111,547,6,664,553
36,Campitello di Fassa / Ciampedel,90,117,4,211,121
37,Campodenno,158,89,1,248,90
38,Canal San Bovo,217,126,15,358,141
39,Canazei / Cianacei,429,298,31,758,329
40,Capriana,44,0,1,45,1
42,Carisolo,96,108,3,207,111
43,Carzano,33,77,1,111,78
45,Castel Condino,12,53,1,66,54
240,Castel Ivano,277,406,39,722,445
48,Castello Tesino,134,56,12,202,68
47,Castello-Molina di Fiemme,208,196,16,420,212
49,Castelnuovo,85,407,14,506,421
50,Cavalese,777,1077,45,1899,1122
51,Cavareno,114,114,8,236,122
52,Cavedago,39,58,1,98,59
53,Cavedine,289,225,2,516,227
54,Cavizzana,16,67,0,83,67
241,Cembra Lisignago,258,276,1,535,277
58,Cimone,37,16,0,53,16
59,Cinte Tesino,22,65,4,91,69
60,Cis,30,43,2,75,45
61,Civezzano,268,403,6,677,409
62,Cles,1741,3002,25,4768,3027
228,Comano Terme,407,447,10,864,457
64,Commezzadura,126,134,1,261,135
242,Contà,168,64,2,234,66
68,Croviana,61,82,0,143,82
71,Dambel,60,32,2,94,34
74,Denno,142,90,1,233,91
233,Dimaro Folgarida,309,348,4,661,352
78,Drena,42,33,2,77,35
79,Dro,395,688,10,1093,698
81,Fai della Paganella,105,88,6,199,94
83,Fiavè,97,75,1,173,76
85,Fierozzo / Vlarotz,35,5,1,41,6
87,Folgaria,511,198,44,753,242
89,Fornace,128,145,1,274,146
90,Frassilongo / Garait,25,10,0,35,10
91,Garniga Terme,20,3,0,23,3
92,Giovo,234,152,2,388,154
93,Giustino,53,108,3,164,111
95,Grigno,322,319,160,801,479
97,Imer,103,159,12,274,171
98,Isera,140,288,5,433,293
102,Lavarone,215,92,35,342,127
103,Lavis,1204,3459,71,4734,3530
229,Ledro,974,120,15,1109,135
104,Levico Terme,1242,1387,27,2656,1414
106,Livo,82,48,2,132,50
108,Lona-Lases,76,129,0,205,129
109,Luserna / Lusérn,45,25,4,74,29
243,Madruzzo,251,241,2,494,243
110,Malé,299,666,5,970,671
112,Massimeno,7,25,0,32,25
113,Mazzin / Mazin,53,53,1,107,54
114,Mezzana,120,128,8,256,136
115,Mezzano,151,149,7,307,156
116,Mezzocorona,735,1375,57,2167,1432
117,Mezzolombardo,1119,1512,43,2674,1555
118,Moena / Moena,447,373,85,905,458
120,Molveno,215,166,1,382,167
123,Mori,947,1037,19,2003,1056
124,Nago-Torbole,315,535,29,879,564
127,Nogaredo,130,223,3,356,226
128,Nomi,100,344,4,448,348
129,Novaledo,83,559,17,659,576
253,Novella,428,325,12,765,337
130,Ospedaletto,63,150,16,229,166
131,Ossana,110,157,2,269,159
133,Palù del Fersina / Palai en Bernstol,9,29,0,38,29
134,Panchià,48,96,0,144,96
136,Peio,245,87,1,333,88
137,Pellizzano,91,139,1,231,140
138,Pelugo,19,28,1,48,29
139,Pergine Valsugana,3701,3090,49,6840,3139
234,Pieve di Bono-Prezzo,124,223,15,362,238
142,Pieve Tesino,56,59,5,120,64
143,Pinzolo,578,992,42,1612,1034
144,Pomarolo,89,127,1,217,128
244,Porte di Rendena,167,145,1,313,146
230,Predaia,946,638,7,1591,645
147,Predazzo,949,566,22,1537,588
245,Primiero San Martino di Castrozza,1057,495,120,1672,615
150,Rabbi,178,100,0,278,100
153,Riva del Garda,3548,3160,171,6879,3331
155,Romeno,143,102,1,246,103
156,Roncegno Terme,210,248,22,480,270
157,Ronchi Valsugana,25,29,0,54,29
135,Ronzo-Chienis,83,49,1,133,50
159,Ronzone,36,35,4,75,39
160,Roverè della Luna,185,92,17,294,109
161,Rovereto,9061,8911,475,18447,9386
