id,comune,latitude,longitude
1,Ala,45.7625503,11.0051619
2,Albiano,46.1443766,11.1940028
3,Aldeno,45.980792,11.0915338
235,Altavalle,46.1806718,11.2331619
236,Altopiano della Vigolana,46.0054222,11.199894
237,Amblar-Don,46.3950466,11.1466795
5,Andalo,46.1640385,11.0025291
6,Arco,45.9180235,10.8860199
7,Avio,45.7352758,10.9393404
9,Baselga di Pinè,46.1298616,11.2440473
11,Bedollo,46.1651119,11.2999856
13,Besenello,45.9416864,11.1101855
15,Bieno,46.0805682,11.5567877
17,Bleggio Superiore,46.0271964,10.8216064
18,Bocenago,46.1184425,10.7588427
21,Bondone,45.8060446,10.5496095
238,Borgo Chiese,45.8896544,10.6002372
252,Borgo d'Anaunia,46.4357411,11.144426
239,Borgo Lares,46.0346988,10.7518837
22,Borgo Valsugana,46.0531899,11.4559477
25,Brentonico,45.81853,10.9532032
26,Bresimo,46.4108447,10.9685805
29,Caderzone Terme,46.1293997,10.7567788
32,Calceranica al Lago,46.0049314,11.2420757
33,Caldes,46.3653283,10.9433309
34,Caldonazzo,45.9914453,11.2621219
35,Calliano,45.9351538,11.0942374
36,Campitello di Fassa / Ciampedel,46.4768,11.74146
37,Campodenno,46.2583461,11.0330205
38,Canal San Bovo,46.1549698,11.7329934
39,Canazei / Cianacei,46.476671,11.7705755
40,Capriana,46.2624529,11.3387549
42,Carisolo,46.1693693,10.7617087
43,Carzano,46.0729249,11.492189
45,Castel Condino,45.914582,10.6030291
240,Castel Ivano,46.0674405,11.5228147
48,Castello Tesino,46.0648314,11.6332197
47,Castello-Molina di Fiemme,46.2817731,11.4348856
49,Castelnuovo,46.052822,11.493266
50,Cavalese,46.2912839,11.4603712
51,Cavareno,46.4073278,11.1369671
52,Cavedago,46.1835267,11.0281496
53,Cavedine,45.9935135,10.9756441
54,Cavizzana,46.3676008,10.9579527
241,Cembra Lisignago,46.1751948,11.2224942
58,Cimone,45.978413,11.069868
59,Cinte Tesino,46.0571641,11.6141376
60,Cis,46.3995787,11.0029016
61,Civezzano,46.0883716,11.1800917
62,Cles,46.3647143,11.0354393
228,Comano Terme,46.0348194,10.8700206
64,Commezzadura,46.3214386,10.8387904
242,Contà,46.2840768,11.0365207
68,Croviana,46.344879,10.9034648
71,Dambel,46.4054525,11.0928279
74,Denno,46.2748422,11.0482149
233,Dimaro Folgarida,46.3255867,10.8747857
78,Drena,45.970053,10.9465026
79,Dro,45.9613419,10.9108002
81,Fai della Paganella,46.1784595,11.0695402
83,Fiavè,46.0047212,10.8422511
85,Fierozzo / Vlarotz,46.1112856,11.3185822
87,Folgaria,45.9139949,11.1770133
89,Fornace,46.1186941,11.2074143
90,Frassilongo / Garait,46.0899914,11.2978635
91,Garniga Terme,46.0011193,11.086054
92,Giovo,46.1572015,11.1516093
93,Giustino,46.1463198,10.7691045
95,Grigno,46.0150837,11.6325633
97,Imer,46.150539,11.7942486
98,Isera,45.8852977,11.0091965
102,Lavarone,45.9367423,11.2742486
103,Lavis,46.1397504,11.1115925
229,Ledro,45.8887732,10.7309411
104,Levico Terme,46.0116173,11.301007
106,Livo,46.40469,11.019244
108,Lona-Lases,46.1459908,11.2199419
109,Luserna / Lusérn,45.9217016,11.3244525
243,Madruzzo,46.0457777,10.9823967
110,Malé,46.351604,10.912956
112,Massimeno,46.1422639,10.7734705
113,Mazzin / Mazin,46.4571325,11.7001097
114,Mezzana,46.3169972,10.7980493
115,Mezzano,46.1545276,11.8059418
116,Mezzocorona,46.2152495,11.1196152
117,Mezzolombardo,46.211192,11.0932021
118,Moena / Moena,46.3766947,11.6599965
120,Molveno,46.1416008,10.9654211
123,Mori,45.8519652,10.9779068
124,Nago-Torbole,45.8778429,10.8908849
127,Nogaredo,45.9143396,11.0214414
128,Nomi,45.9290197,11.0710884
129,Novaledo,46.0218029,11.3649519
253,Novella,46.3907089,11.0589321
130,Ospedaletto,46.0437072,11.5533257
131,Ossana,46.3070135,10.737311
133,Palù del Fersina / Palai en Bernstol,46.1297092,11.3525381
134,Panchià,46.2856518,11.5422379
136,Peio,46.362723,10.6733792
137,Pellizzano,46.3112692,10.7576902
138,Pelugo,46.0872811,10.7229576
139,Pergine Valsugana,46.0638749,11.2422017
234,Pieve di Bono-Prezzo,45.9386643,10.6384705
142,Pieve Tesino,46.0685596,11.6086059
143,Pinzolo,46.1597717,10.7651024
144,Pomarolo,45.9261675,11.041344
244,Porte di Rendena,46.0624952,10.712243
230,Predaia,46.3216798,11.0955077
147,Predazzo,46.312407,11.6025089
245,Primiero San Martino di Castrozza,46.2617775,11.8005
150,Rabbi,46.39978,10.84677
153,Riva del Garda,45.8893165,10.8431111
155,Romeno,46.3931367,11.1191388
156,Roncegno Terme,46.0528485,11.4107658
157,Ronchi Valsugana,46.0672495,11.4342458
135,Ronzo-Chienis,45.8913232,10.952357
159,Ronzone,46.4242599,11.1516865
160,Roverè della Luna,46.2495084,11.1712555
161,Rovereto,45.89096,11.0401399
162,Ruffrè-Mendola,46.4147775,11.1801802
163,Rumo,46.4517496,11.010232
164,Sagron Mis,46.194683,11.9431647
165,Samone,46.081582,11.522698
250,San Giovanni di Fassa / Sèn Jan,46.4301799,11.685807
231,San Lorenzo Dorsino,46.0767945,10.9097659
167,San Michele all'Adige,46.193535,11.1328901
168,Sant'Orsola Terme,46.108123,11.3025755
169,Sanzeno,46.3656209,11.074082
170,Sarnonico,46.4200644,11.1409298
171,Scurelle,46.0646035,11.506885
172,Segonzano,46.1901947,11.2586273
246,Sella Giudicarie,45.98488,10.6706386
173,Sfruz,46.3368525,11.1158989
176,Soraga di Fassa / Soraga,46.3947763,11.6669887
177,Sover,46.2215465,11.3146837
179,Spiazzo,46.0984292,10.7343257
180,Spormaggiore,46.2180455,11.0479816
181,Sporminore,46.2373103,11.0313934
182,Stenico,46.0521575,10.8542791
183,Storo,45.8490705,10.5776811
184,Strembo,46.1198069,10.7505588
188,Telve,46.0701235,11.480232
189,Telve di Sopra,46.0715221,11.4716741
190,Tenna,46.0131211,11.2664339
191,Tenno,45.920005,10.8315831
193,Terragnolo,45.8791813,11.1509138
251,Terre d'Adige,46.1667866,11.1082614
195,Terzolas,46.3611385,10.9262615
196,Tesero,46.2894156,11.5103834
199,Tione di Trento,46.0349608,10.7259197
200,Ton,46.2650615,11.0864731
202,Torcegno,46.074128,11.4489831
203,Trambileno,45.883186,11.0539739
247,Tre Ville,46.0528299,10.7774943
205,Trento,46.0673856,11.1267378
232,Valdaone,45.9465779,10.6209608
209,Valfloriana,46.2483058,11.3429764
210,Vallarsa,45.7823689,11.1166692
248,Vallelaghi,46.0786356,11.0000139
213,Vermiglio,46.2971211,10.6946531
216,Vignola-Falesina,46.0445123,11.2770559
222,Villa Lagarina,45.914973,11.0332434
249,Ville d'Anaunia,46.3263612,11.0227789
254,Ville di Fiemme,46.3053445,11.4579424
224,Volano,45.9178679,11.0638977
226,Ziano di Fiemme,46.2858823,11.5653272
