Codice,Comune,Stesso,Altro,Totale,Lordo,Netto
1,Ala,1203,1991,123,3317,2114
2,Albiano,206,322,20,548,342
3,Aldeno,294,1052,32,1378,1084
235,Altavalle,155,435,8,598,443
236,Altopiano della Vigolana,404,1728,34,2166,1762
237,Amblar-Don,66,121,16,203,137
5,Andalo,271,109,0,380,109
6,Arco,4000,2721,145,6866,2866
7,Avio,661,792,107,1560,899
9,Baselga di Pinè,605,1346,25,1976,1371
11,Bedollo,87,458,10,555,468
13,Besenello,204,991,23,1218,1014
15,Bieno,25,117,5,147,122
17,Bleggio Superiore,151,409,7,567,416
18,Bocenago,33,117,1,151,118
21,Bondone,42,149,29,220,178
238,Borgo Chiese,291,351,31,673,382
252,Borgo d'Anaunia,388,397,106,891,503
239,Borgo Lares,60,206,2,268,208
22,Borgo Valsugana,1224,1502,51,2777,1553
25,Brentonico,404,965,27,1396,992
26,Bresimo,13,73,3,89,76
29,Caderzone Terme,63,179,1,243,180
32,Calceranica al Lago,117,438,10,565,448
33,Caldes,115,294,1,410,295
34,Caldonazzo,300,1315,19,1634,1334
35,Calliano,111,763,22,896,785
36,Campitello di Fassa / Ciampedel,90,125,1,216,126
37,Campodenno,158,398,24,580,422
38,Canal San Bovo,217,210,33,460,243
39,Canazei / Cianacei,429,124,7,560,131
40,Capriana,44,158,36,238,194
42,Carisolo,96,217,0,313,217
43,Carzano,33,161,5,199,166
45,Castel Condino,12,59,6,77,65
240,Castel Ivano,277,945,20,1242,965
48,Castello Tesino,134,244,12,390,256
47,Castello-Molina di Fiemme,208,579,100,887,679
49,Castelnuovo,85,331,14,430,345
50,Cavalese,777,569,100,1446,669
51,Cavareno,114,261,67,442,328
52,Cavedago,39,149,6,194,155
53,Cavedine,289,895,24,1208,919
54,Cavizzana,16,79,1,96,80
241,Cembra Lisignago,258,520,23,801,543
58,Cimone,37,259,5,301,264
59,Cinte Tesino,22,86,1,109,87
60,Cis,30,90,2,122,92
61,Civezzano,268,1435,28,1731,1463
62,Cles,1741,980,49,2770,1029
228,Comano Terme,407,600,18,1025,618
64,Commezzadura,126,214,5,345,219
242,Contà,168,354,10,532,364
68,Croviana,61,202,3,266,205
71,Dambel,60,96,2,158,98
74,Denno,142,294,22,458,316
233,Dimaro Folgarida,309,406,12,727,418
78,Drena,42,187,8,237,195
79,Dro,395,1560,48,2003,1608
81,Fai della Paganella,105,180,12,297,192
83,Fiavè,97,270,4,371,274
85,Fierozzo / Vlarotz,35,142,2,179,144
87,Folgaria,511,457,30,998,487
89,Fornace,128,405,6,539,411
90,Frassilongo / Garait,25,96,0,121,96
91,Garniga Terme,20,121,3,144,124
92,Giovo,234,738,31,1003,769
93,Giustino,53,193,0,246,193
95,Grigno,322,341,45,708,386
97,Imer,103,234,27,364,261
98,Isera,140,932,19,1091,951
102,Lavarone,215,187,10,412,197
103,Lavis,1204,2304,203,3711,2507
229,Ledro,974,915,32,1921,947
104,Levico Terme,1242,1808,51,3101,1859
106,Livo,82,229,4,315,233
108,Lona-Lases,76,230,14,320,244
109,Luserna / Lusérn,45,37,4,86,41
243,Madruzzo,251,885,25,1161,910
110,Malé,299,398,14,711,412
112,Massimeno,7,41,0,48,41
113,Mazzin / Mazin,53,147,3,203,150
114,Mezzana,120,179,3,302,182
115,Mezzano,151,357,43,551,400
116,Mezzocorona,735,1144,266,2145,1410
117,Mezzolombardo,1119,1554,312,2985,1866
118,Moena / Moena,447,311,14,772,325
120,Molveno,215,159,10,384,169
123,Mori,947,2966,110,4023,3076
124,Nago-Torbole,315,717,38,1070,755
127,Nogaredo,130,717,16,863,733
128,Nomi,100,408,16,524,424
129,Novaledo,83,363,4,450,367
253,Novella,428,887,66,1381,953
130,Ospedaletto,63,229,6,298,235
131,Ossana,110,182,4,296,186
133,Palù del Fersina / Palai en Bernstol,9,55,2,66,57
134,Panchià,48,279,14,341,293
136,Peio,245,283,7,535,290
137,Pellizzano,91,148,0,239,148
138,Pelugo,19,127,3,149,130
139,Pergine Valsugana,3701,5048,141,8890,5189
234,Pieve di Bono-Prezzo,124,366,9,499,375
142,Pieve Tesino,56,171,3,230,174
143,Pinzolo,578,303,19,900,322
144,Pomarolo,89,921,30,1040,951
244,Porte di Rendena,167,515,5,687,520
230,Predaia,946,1490,88,2524,1578
147,Predazzo,949,637,43,1629,680
245,Primiero San Martino di Castrozza,1057,474,148,1679,622
150,Rabbi,178,277,2,457,279
153,Riva del Garda,3548,2924,247,6719,3171
155,Romeno,143,346,50,539,396
156,Roncegno Terme,210,897,13,1120,910
157,Ronchi Valsugana,25,145,6,176,151
135,Ronzo-Chienis,83,263,7,353,270
159,Ronzone,36,82,32,150,114
160,Roverè della Luna,185,249,181,615,430
161,Rovereto,9061,5333,323,14717,5656
162,Ruffrè-Mendola,37,59,48,144,107
163,Rumo,97,175,7,279,182
164,Sagron Mis,7,25,31,63,56
165,Samone,40,174,3,217,177
250,San Giovanni di Fassa / Sèn Jan,925,352,20,1297,372
231,San Lorenzo Dorsino,168,327,6,501,333
167,San Michele all'Adige,456,1089,244,1789,1333
168,Sant'Orsola Terme,85,361,10,456,371
169,Sanzeno,105,226,17,348,243
170,Sarnonico,76,198,36,310,234
171,Scurelle,142,364,8,514,372
172,Segonzano,105,434,6,545,440
246,Sella Giudicarie,262,829,19,1110,848
173,Sfruz,31,94,3,128,97
176,Soraga di Fassa / Soraga,104,146,5,255,151
177,Sover,58,214,7,279,221
179,Spiazzo,135,271,6,412,277
180,Spormaggiore,116,310,30,456,340
181,Sporminore,73,191,10,274,201
182,Stenico,104,336,7,447,343
183,Storo,810,692,144,1646,836
184,Strembo,43,161,3,207,164
188,Telve,131,571,13,715,584
189,Telve di Sopra,20,216,3,239,219
190,Tenna,52,380,8,440,388
191,Tenno,120,600,17,737,617
193,Terragnolo,36,224,5,265,229
251,Terre d'Adige,167,1014,67,1248,1081
195,Terzolas,46,189,4,239,193
196,Tesero,450,534,40,1024,574
199,Tione di Trento,787,538,18,1343,556
200,Ton,128,385,29,542,414
202,Torcegno,44,241,3,288,244
203,Trambileno,63,514,10,587,524
247,Tre Ville,100,413,10,523,423
205,Trento,37573,7107,1768,46448,8875
232,Valdaone,58,345,9,412,354
209,Valfloriana,26,122,10,158,132
210,Vallarsa,107,373,14,494,387
248,Vallelaghi,391,1674,30,2095,1704
213,Vermiglio,265,286,25,576,311
216,Vignola-Falesina,14,71,2,87,73
222,Villa Lagarina,230,1327,28,1585,1355
249,Ville d'Anaunia,560,1140,35,1735,1175
254,Ville di Fiemme,236,687,91,1014,778
224,Volano,260,1000,34,1294,1034
226,Ziano di Fiemme,210,409,30,649,439
