id_comune,popolazione
1,8797
2,1497
3,3188
235,1621
236,5107
237,547
5,1207
6,17745
7,4090
9,5086
11,1471
13,2750
15,448
17,1525
18,398
21,641
238,1959
252,2496
239,714
22,6981
25,4032
26,250
29,691
32,1381
33,1091
34,3878
35,2008
36,708
37,1516
38,1465
39,1947
40,584
42,949
43,519
45,222
240,3269
48,1161
47,2320
49,1072
50,4040
51,1128
52,554
53,3014
54,240
241,2302
58,715
59,343
60,301
61,4086
62,7154
228,2904
64,1014
242,1399
68,690
71,419
74,1212
233,2090
78,581
79,5044
81,910
83,1062
85,476
87,3149
89,1316
90,340
91,392
92,2520
93,745
95,2058
97,1174
98,2765
102,1187
103,9123
229,5261
104,8069
106,786
108,872
109,269
243,2948
110,2242
112,144
113,593
114,878
115,1595
116,5518
117,7403
118,2636
120,1116
123,10011
124,2835
127,2065
128,1307
129,1098
253,3590
130,788
131,828
133,166
134,817
136,1827
137,777
138,393
139,21485
234,1429
142,645
143,3106
144,2437
244,1767
230,6797
147,4512
245,5230
150,1340
153,17694
155,1391
156,2906
157,457
135,990
159,449
160,1635
161,39860
162,417
163,806
164,179
165,549
250,3637
231,1563
167,3983
168,1113
169,918
170,795
171,1354
172,1396
246,2893
173,367
176,693
177,779
179,1245
180,1264
181,705
182,1168
183,4529
184,605
188,1892
189,594
190,1050
191,1988
193,701
251,3048
195,645
196,2936
199,3659
200,1317
202,679
203,1468
247,1385
205,118363
232,1145
209,466
210,1374
248,5168
213,1821
216,181
222,3853
249,4733
254,2634
224,3042
226,1757
